,date_id,yardline_100,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,down,goal_to_go,ydstogo,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_scramble,air_yards,yards_after_catch,posteam_timeouts_remaining,posteam_score,defteam_score,score_differential,fourth_down_converted,fourth_down_failed,rush_attempt,pass_attempt,temp,humd,wspd,cond,rain,snow,run_location_left,run_location_middle,run_location_right,run_gap_end,run_gap_guard,run_gap_tackle,pass_location_left,pass_location_middle,pass_location_right,pass_length_deep,pass_length_short
21,2009-09-13BAL,1.0,36.0,36.0,36.0,4,4.0,1.0,1,run,1.0,0,0,0.0,0,,,2.0,31.0,23.0,8.0,1.0,0.0,1.0,0.0,76.0,68.0,5.0,Partly Cloudy,0,0,0,0,1,0,1,0,0,0,0,0,0
22,2009-09-13ATL,15.0,250.0,250.0,250.0,4,4.0,0.0,4,pass,6.0,1,0,1.0,0,6.0,0.0,2.0,0.0,19.0,-19.0,1.0,0.0,0.0,1.0,,,,Dome,0,0,0,0,0,0,0,0,0,0,1,0,1
23,2009-09-13ARI,33.0,115.0,115.0,115.0,4,4.0,0.0,5,pass,0.0,1,0,1.0,0,-2.0,,2.0,16.0,20.0,-4.0,0.0,1.0,0.0,1.0,,,,Closed Roof,0,0,0,0,0,0,0,0,1,0,0,0,1
24,2009-09-13SEA,7.0,130.0,130.0,130.0,4,4.0,1.0,7,pass,0.0,1,0,1.0,0,7.0,,3.0,0.0,28.0,-28.0,0.0,1.0,0.0,1.0,73.0,55.0,5.0,Sunny,0,0,0,0,0,0,0,0,0,1,0,0,1
25,2009-09-13NYG,3.0,900.0,900.0,2700.0,2,4.0,0.0,1,run,0.0,0,0,0.0,0,,,2.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,80.0,41.0,8.0,Sunny,0,0,0,1,0,0,0,0,0,0,0,0,0
26,2009-09-13NYG,8.0,33.0,33.0,1833.0,2,4.0,1.0,8,run,8.0,0,0,0.0,0,,,1.0,0.0,16.0,-16.0,1.0,0.0,1.0,0.0,80.0,41.0,8.0,Sunny,0,0,0,0,1,1,0,0,0,0,0,0,0
27,2009-09-13GB,49.0,4.0,4.0,1804.0,2,4.0,0.0,14,pass,0.0,1,0,1.0,0,49.0,,1.0,2.0,10.0,-8.0,0.0,1.0,0.0,1.0,76.0,59.0,0.0,Clear,0,0,0,0,0,0,0,0,0,0,1,1,0
28,2009-09-13GB,37.0,660.0,1560.0,1560.0,3,4.0,0.0,1,run,1.0,0,0,0.0,0,,,2.0,2.0,10.0,-8.0,1.0,0.0,1.0,0.0,76.0,59.0,0.0,Clear,0,0,0,1,0,0,0,0,0,0,0,0,0
29,2009-09-13GB,74.0,763.0,763.0,763.0,4,4.0,0.0,11,run,4.0,0,0,0.0,0,,,1.0,12.0,10.0,2.0,0.0,1.0,1.0,0.0,76.0,59.0,0.0,Clear,0,0,0,1,0,0,0,0,0,0,0,0,0
30,2009-09-14NE,40.0,819.0,1719.0,3519.0,1,4.0,0.0,1,run,0.0,0,0,0.0,0,,,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,53.0,5.0,Clear,0,0,1,0,0,0,0,1,0,0,0,0,0
31,2009-09-14NE,36.0,360.0,1260.0,1260.0,3,4.0,0.0,2,pass,0.0,1,0,1.0,0,5.0,,3.0,10.0,13.0,-3.0,0.0,1.0,0.0,1.0,70.0,53.0,5.0,Clear,0,0,0,0,0,0,0,0,0,0,1,0,1
32,2009-09-14NE,70.0,1.0,1.0,1.0,4,4.0,0.0,20,pass,30.0,1,1,1.0,0,18.0,5.0,0.0,23.0,25.0,-2.0,1.0,0.0,0.0,1.0,70.0,53.0,5.0,Clear,0,0,0,0,0,0,0,0,0,0,1,1,0
33,2009-09-14OAK,57.0,161.0,161.0,161.0,4,4.0,0.0,14,pass,57.0,1,0,1.0,0,42.0,15.0,2.0,13.0,17.0,-4.0,1.0,0.0,0.0,1.0,63.0,86.0,12.0,,0,0,0,0,0,0,0,0,0,1,0,1,0
34,2009-09-20ATL,15.0,536.0,1436.0,1436.0,3,4.0,0.0,1,run,2.0,0,0,0.0,0,,,3.0,21.0,13.0,8.0,1.0,0.0,1.0,0.0,,,,Dome,0,0,0,1,0,0,0,0,0,0,0,0,0
35,2009-09-20ATL,21.0,73.0,973.0,973.0,3,4.0,0.0,1,run,1.0,0,0,0.0,0,,,3.0,21.0,13.0,8.0,1.0,0.0,1.0,0.0,,,,Dome,0,0,0,1,0,0,0,0,0,0,0,0,0
